HECHO,RUPTURA,CONEXO,ESTADO_NOTICIA,ETAPA,ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,LEY,PAIS,DEPARTAMENTO,MUNICIPIO,SECCIONAL,GRUPO_DELITO,DELITO,IMPUTACION,CONDENA,ATIPICIDAD_INEXISTENCIA,ACUSACION,CAPTURA,SEXO_VICTIMA,GRUPO_EDAD_VICTIMA,PAIS_NACIMIENTO,HOMICIDIO_DOLOSO_CONSUMADO,TOTAL_VICTIMAS
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Antioquia,SALGAR,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Antioquia,BELLO,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Valle del Cauca,ANDALUCÍA,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,Tolima,IBAGUÉ,DIRECCIÓN SECCIONAL DE TOLIMA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,MASCULINO,SIN DATO,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Santander,BARRANCABERMEJA,DIRECCIÓN SECCIONAL DE MAGDALENA MEDIO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Magdalena,CIÉNAGA,DIRECCIÓN SECCIONAL DE MAGDALENA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2017,2017,2017,Ley 906,Colombia,Cesar,AGUSTÍN CODAZZI,DIRECCIÓN SECCIONAL DE CESAR,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Chocó,QUIBDO,DIRECCIÓN SECCIONAL DE CHOCÓ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,2
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2020,2020,2020,Ley 906,Colombia,Bolívar,CARTAGENA,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,Cundinamarca,LA MESA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Valle del Cauca,DAGUA,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,3
SI,NO,NO,ACTIVO,EJECUCIÓN DE PENAS,2020,2020,2020,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2015,2015,2015,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,MASCULINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2016,2016,2016,Ley 906,Colombia,Valle del Cauca,BUENAVENTURA,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2020,2020,2020,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,7
SI,NO,NO,ACTIVO,INDAGACIÓN,2023,2023,2016,Ley 906,Colombia,Antioquia,LA PINTADA,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,SIN DATO,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Antioquia,BELLO,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Boyaca,SATIVANORTE,DIRECCIÓN SECCIONAL DE BOYACÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,SIN DATO,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,3
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Cauca,POPAYÁN,DIRECCIÓN SECCIONAL DE CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,NO,MASCULINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,Santander,LEBRÍJA,DIRECCIÓN SECCIONAL DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,SIN DATO,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,PRE-ADOLESCENTE 12 - 13,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,Bolívar,CARTAGENA,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2015,2015,2015,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,SIN DATO,Colombia,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Antioquia,PEQUE,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2019,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,SIN DATO,,SI,1
SI,NO,SI,INACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Arauca,ARAUCA,DIRECCIÓN SECCIONAL DE ARAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,SIN DATO,,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Santander,SABANA DE TORRES,DIRECCIÓN SECCIONAL DE MAGDALENA MEDIO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Valle del Cauca,TRUJILLO,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,SIN DATO,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2020,2020,2020,Ley 906,Colombia,Cauca,SANTANDER DE QUILICHAO,DIRECCIÓN SECCIONAL DE CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,ACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,Córdoba,CERETÉ,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,SIN DATO,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,Santander,BUCARAMANGA,DIRECCIÓN SECCIONAL DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,MASCULINO,ADULTEZ 29 - 59,,SI,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2017,2017,2017,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,6
SI,NO,NO,ACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Valle del Cauca,BUENAVENTURA,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,2
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Antioquia,TURBO,DIRECCIÓN ESPECIALIZADA CONTRA ORGANIZACIONES CRIMINALES,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,MASCULINO,SIN DATO,Cuba,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Antioquia,SANTA ROSA DE OSOS,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,JUVENTUD 18 - 28,,SI,1
SI,NO,NO,INACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,Córdoba,CERETÉ,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,Sucre,GUARANDA,DIRECCIÓN SECCIONAL DE SUCRE,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2020,2020,2020,Ley 906,Colombia,Cauca,SANTANDER DE QUILICHAO,DIRECCIÓN SECCIONAL DE CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,SIN DATO,,NO,2
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 1098,Colombia,Bolívar,MAGANGUÉ,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Antioquia,SOPETRÁN,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
NO,NO,NO,INACTIVO,INDAGACIÓN,2017,2017,2017,Ley 906,Colombia,Caquetá,VALPARAÍSO,DIRECCIÓN SECCIONAL DE CAQUETÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,SI,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2019,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2019,Ley 906,Colombia,Antioquia,ENVIGADO,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Córdoba,MONTERÍA,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,MASCULINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,ACTIVO,INVESTIGACIÓN,2019,2019,2019,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2021,2021,2019,Ley 906,Colombia,Risaralda,PEREIRA,DIRECCIÓN SECCIONAL DE RISARALDA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,NO,1
NO,NO,NO,INACTIVO,INDAGACIÓN,2017,2017,2017,Ley 906,Colombia,Antioquia,LA ESTRELLA,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,SI,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Tolima,ALVARADO,DIRECCIÓN SECCIONAL DE TOLIMA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,2
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,Boyaca,SOGAMOSO,DIRECCIÓN SECCIONAL DE BOYACÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2017,2017,2017,Ley 906,Colombia,Córdoba,SAN BERNARDO DEL VIENTO,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,SIN DATO,Colombia,SI,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Caquetá,SAN VICENTE DEL CAGUÁN,DIRECCIÓN SECCIONAL DE CAQUETÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,Antioquia,ANORÍ,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,ACTIVO,JUICIO,2019,2019,2019,Ley 906,Colombia,Norte de Santander,SALAZAR,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,SIN DATO,,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Córdoba,MONTERÍA,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,SIN DATO,Colombia,SI,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Santander,BUCARAMANGA,DIRECCIÓN SECCIONAL DE SANTANDER,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,Cauca,CORINTO,DIRECCIÓN SECCIONAL DE CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,NO,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,2
SI,NO,SI,INACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Sucre,COROZAL,DIRECCIÓN SECCIONAL DE SUCRE,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,,ADULTO MAYOR DE 60,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2018,2018,2018,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 1098,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,NO,SI,MASCULINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2015,2015,2015,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADOLESCENTE 14 - 17,Colombia,SI,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Magdalena,SANTA MARTA,DIRECCIÓN SECCIONAL DE MAGDALENA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,2
SI,NO,NO,INACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Atlántico,SOLEDAD,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,MASCULINO,SIN DATO,,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Antioquia,GIRARDOTA,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2016,2016,2016,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Antioquia,ENVIGADO,DIRECCIÓN SECCIONAL DE MEDELLÍN,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2017,2017,2017,Ley 906,Colombia,Chocó,RIOSUCIO,DIRECCIÓN SECCIONAL DE CHOCÓ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,SIN DATO,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2018,2018,2018,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,MASCULINO,SIN DATO,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Bolívar,CARTAGENA,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2016,2016,2016,Ley 906,Colombia,Córdoba,SAN JOSE DE URE,DIRECCIÓN SECCIONAL DE CÓRDOBA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,INFANCIA 6 - 11,Colombia,SI,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,NO,1
SI,NO,NO,ACTIVO,JUICIO,2020,2020,2020,Ley 906,Colombia,Putumayo,MOCOA,DIRECCIÓN SECCIONAL DE PUTUMAYO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,NO,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
NO,NO,NO,INACTIVO,INDAGACIÓN,2015,2015,2015,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,SI,NO,NO,MASCULINO,SIN DATO,Colombia,NO,1
SI,NO,NO,INACTIVO,INDAGACIÓN,2019,2019,2019,Ley 906,Colombia,Risaralda,PEREIRA,DIRECCIÓN SECCIONAL DE RISARALDA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,SI,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2019,2019,2019,Ley 906,Colombia,Antioquia,EL SANTUARIO,DIRECCIÓN SECCIONAL DE ANTIOQUIA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,NO,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,ACTIVO,INDAGACIÓN,2018,2018,2018,Ley 906,Colombia,Putumayo,PUERTO ASÍS,DIRECCIÓN SECCIONAL DE PUTUMAYO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,NO,NO,NO,NO,NO,FEMENINO,ADULTEZ 29 - 59,Colombia,SI,1
SI,NO,NO,ACTIVO,INVESTIGACIÓN,2020,2020,2020,Ley 906,Colombia,Atlántico,SOLEDAD,DIRECCIÓN SECCIONAL DE ATLÁNTICO,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,NO,NO,SI,SI,FEMENINO,JUVENTUD 18 - 28,Colombia,NO,1
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,2020,2020,2020,Ley 906,Colombia,Valle del Cauca,ANDALUCÍA,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,FEMINICIDIO,FEMINICIDIO ART. 104A C.P.,SI,SI,NO,SI,SI,FEMENINO,SIN DATO,,NO,1
